id;jabatan;unsur;sub_unsur;kegiatan;bobot
576;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;menyusun konsep P2 Pendahuluan;0.160
577;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review konsep P2 Pendahuluan dari Pemeriksa Ahli Muda;0.300
578;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review dan menyetujui P2 Pendahuluan dari Pemeriksa Ahli Madya;0.400
579;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;mengarahkan pengumpulan data dan informasi;0.400
580;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;melaksanakan administrasi penyusunan P2 AKN atau P2 Perwakilan;0.100
581;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;menyusun konsep P2 AKN atau P2 Perwakilan;0.400
582;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review konsep P2 AKN atau P2 Perwakilan dari Pemeriksa Ahli Muda;0.360
583;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review dan menyetujui P2 AKN atau P2 Perwakilan dari Pemeriksa Ahli Madya;0.400
584;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;menyusun PKP untuk pelaksanaan tugas-tugas Pemeriksaan Pendahuluan;0.170
585;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;mengesahkan PKP Pemeriksa Ahli Pertama untuk tugastugas Pemeriksaan Pendahulua;0.160
586;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;menyusun KKP untuk pelaksanaan tugas-tugas dalam Pemeriksaan Pendahuluan;0.210
587;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review KKP Pemeriksa Ahli Pertama dalam Pemeriksaan Pendahuluan;0.360
588;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review KKP Pemeriksa Ahli Pertama dalam Pemeriksaan Pendahuluan yang telah di-review oleh Pemeriksa Ahli Muda;0.450
589;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;menyusun konsep Laporan Pemeriksaan Pendahuluan;0.560
590;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review konsep Laporan Pemeriksaan Pendahuluan dari Pemeriksa Ahli Muda;0.450
591;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review dan menyetujui Laporan Pemeriksaan Pendahuluan dari Pemeriksa Ahli Madya;0.640
592;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;melakukan pembahasan atas Hasil Pengawasan Intern;0.120
593;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review hasil pembahasan atas Hasil Pengawasan Intern;0.100
594;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;menyiapkan bahan penyusunan IHPS;0.210
595;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;menyiapkan konsep bahan penyusunan IHPS;0.420
596;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review konsep bahan penyusunan IHPS dari Pemeriksa Ahli Muda;0.360
597;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review konsep bahan penyusunan IHPS dari Pemeriksa Ahli Madya;0.480
598;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;menyusun konsep LHP sesuai unsur-unsur temuan seperti kondisi, kriteria, sebab dan akibat;0.400
599;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;menyiapkan usulan konsep Rekomendasi BPK;0.140
600;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;menyiapkan konsep Surat Kelua;0.140
601;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review usulan konsep Rekomendasi BPK dari Pemeriksa Ahli Muda;0.360
602;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;melakukan pembahasan atas usulan konsep Rekomendasi BPK;0.300
603;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;membuat Surat Keluar;0.240
604;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review usulan konsep Rekomendasi BPK;0.320
605;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;menyusun konsep Pelaporan Informasi Rahasia;0.390
606;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review konsep Pelaporan Informasi Rahasia;0.240
607;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;melaksanakan evaluasi laporan hasil pelaksanaan Pemeriksaan KAP;0.220
608;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;menyusun laporan evaluasi atas hasil pelaksanaan Pemeriksaan KAP;0.450
609;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;me-review laporan evaluasi atas hasil pelaksanaan Pemeriksaan KAP;0.680
610;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemeriksaan;melaporkan indikasi Tindak Pidana Korupsi;0.320
611;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemantauan Tindak Lanjut Hasil Pemeriksaan (TLHP);elaksanakan administrasi dalam pemantauan TLHP;0.180
612;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemantauan Tindak Lanjut Hasil Pemeriksaan (TLHP);menyiapkan bahan pemantauan TLHP;0.120
613;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemantauan Tindak Lanjut Hasil Pemeriksaan (TLHP);melaksanakan pemantauan TLHP;0.160
614;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemantauan Tindak Lanjut Hasil Pemeriksaan (TLHP);melaksanakan penelaahan jawaban TLHP dari entitas yang diperiksa;0.320
615;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemantauan Tindak Lanjut Hasil Pemeriksaan (TLHP);"menyusun konsep laporan penelaahan jawaban TLHP dari entitas
yang diperiksa";0.360
616;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemantauan Tindak Lanjut Hasil Pemeriksaan (TLHP);me-review dan menyetujui laporan penelaahan jawaban TLHP dari entitas yang diperiksa;0.600
617;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemantauan Kerugian Negara/Daera;menyiapkan bahan pemantauan proses penyelesaian Ganti Kerugian Negara/Daerah;0.210
618;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemantauan Kerugian Negara/Daera;melaksanakan pemantauan proses penyelesaian Ganti Kerugian Negara/Daerah;0.200
619;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemantauan Kerugian Negara/Daera;memimpin pemantauan proses penyelesaian Ganti Kerugian Negara/Daerah;0.400
620;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemantauan Kerugian Negara/Daera;menyusun konsep Laporan Pemantauan Ganti Kerugian Negara/Daerah;0.260
621;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemantauan Kerugian Negara/Daera;me-review konsep Laporan Pemantauan Ganti Kerugian Negara/Daerah;0.450
622;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Pemantauan Kerugian Negara/Daera;me-review dan menyetujui Laporan Pemantauan Ganti Kerugian Negara/Daerah;0.600
623;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Penyusunan bahan penjelasan BPK;menyiapkan kajian hasil pemeriksaan yang mengandung unsur tindak pidana korupsi dan/atau kerugian negara;0.120
624;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Penyusunan bahan penjelasan BPK;mengompilasi hasil kajian dan menyusun Bahan Penjelasan kepada Pemerintah, Lembaga Perwakilan, dan Aparat Penegak Hukum tentang hasil pemeriksaan pada lingkup tugasnya;0.360
625;Pemeriksa;Pemeriksaan keuangan, pemeriksaan kinerja, dan pemeriksaan dengan tujuan tertentu;Penyusunan bahan penjelasan BPK;me-review Bahan Penjelasan kepada Pemerintah, Lembaga Perwakilan, dan Aparat Penegak Hukum tentang hasil pemeriksaan dari Pemeriksa Ahli Madya pada lingkup tugasnya;0.400
626;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun usulan pembentukan TPPI;0.020
627;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review usulan pembentukan TPPI;0.030
628;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review dan menyetujui pembentukan TPPI;0.043
629;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;memperoleh informasi awal dari Pemberi Informasi;0.020
630;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menghimpun informasi awal dari berbagai sumber, yaitu: LHP, APH, DPR, media sosial, pengaduan masyarakat, pemberitaan, dl;0.020
631;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun informasi awal dari berbagai sumber, yaitu: LHP, APH, DPR, media sosial, pengaduan masyarakat, pemberitaan, dll;0.002
632;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review informasi awal dari berbagai sumber, yaitu: LHP, APH, DPR, media sosial, pengaduan masyarakat, pemberitaan, dll;0.030
633;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;mendokumentasikan dan mengadministrasikan informasi awa;0.016
634;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;melakukan pembahasan informasi awal;0.016
635;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun konsep Laporan Pembahasan Informasi Awa;0.030
636;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review konsep Laporan Pembahasan Informasi Awal dari Pemeriksa Ahli Muda;0.045
637;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review dan menyetujui Laporan Pembahasan Informasi Awal dari Pemeriksa Ahli Madya;0.086
638;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;meminta data pendukung kepada Pemberi Informasi;0.032
639;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;memverifikasi data pendukung dari Pemberi Informasi;0.016
640;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;melakukan analisis dan penelahaan atas informasi awal berdasarkan bukti yang diterima;0.048
641;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;memimpin proses analisis dan penelaahan atas informasi awal;0.060
642;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;mengendalikan teknis proses analisis dan penelaahan atas informasi awal;0.090
643;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;mengendalikan mutu proses analisis dan penelaahan atas informasi awal;0.259
644;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;mengumpulkan petunjuk tambahan untuk melengkapi analisis awal;0.016
645;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;melaksanakan tugas-tugas dalam pelaksanaan Pemeriksaan Pendahuluan (jika diperlukan);0.010
646;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;memimpin pelaksanaan Pemeriksaan Pendahuluan (jika diperlukan);0.020
647;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;mengendalikan teknis pelaksanaan Pemeriksaan Pendahuluan (jika diperlukan;0.030
648;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;mengendalikan mutu pelaksanaan Pemeriksaan Pendahuluan (jika diperlukan);0.100
649;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyiapkan bahan untuk penyusunan simpulan atas hasil analisis dan penelaahan informasi awal;0.016
650;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun konsep simpulan atas hasil analisis dan penelahaan informasi awal (predikasi 4W + 1H atau 5W + 1H);0.030
651;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review konsep simpulan atas hasil analisis dan penelaahan informasi awal dari Pemeriksa Ahli Muda;0.045
652;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review dan menyetujui simpulan atas hasil analisis dan penelaahan informasi awal dari Pemeriksa Ahli Madya;0.086
653;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;melakukan diskusi dengan Instansi berwenang (APH) dalam hal hasil penelaahan dapat memenuhi unsur 5W + 1 H;0.030
654;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;memberikan persetujuan untuk menyerahkan Laporan Penelahaan Informasi Awal kepada APH jika hasil predikasi dapat memenuhi unsur 5W + 1H;0.045
655;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;memberikan persetujuan untuk dilakukannya Pemeriksaan Pendahuluan/Pemeriksaan Investigatif;0.086
656;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun usulan Tim Pemeriksa;0.030
657;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyiapkan bahan pengembangan hipotesis dari predikasi yang ada;0.086
658;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun hasil pengembangan hipotesis dari predikasi yang ada;0.086
659;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review hasil pengembangan hipotesis dari predikasi yang ada dari Pemeriksa Ahli Muda;0.015
660;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review dan menyetujui hasil pengembangan hipotesis dari predikasi yang ada dari Pemeriksa Ahli Madya;0.012
661;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review usulan Tim Pemeriksa dari Pemeriksa Ahli Muda;0.015
662;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review dan menyetujui usulan Tim Pemeriksa dari Pemeriksa Ahli Madya;0.030
663;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;melakukan komunikasi dengan pihak eksternal terkait dengan perencanaan pemeriksaan bersama APH dalam rangka join investigation seperti transportasi, akomodasi, jadwal kerja,dll (jika diperlukan);0.086
664;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;mengarahkan koordinasi dengan pihak eksternal terkait dengan perencanaan pemeriksaan bersama APH dalam rangka join investigation seperti transportasi, akomodasi, jam kerja, dll (jika diperlukan).;0.012
665;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyiapkan bahan penyusunan P2 Investigatif;0.015
666;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun konsep P2 Investigatif;0.010
667;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review konsep P2 Investigatif dari Pemeriksa Ahli Muda;0.040
668;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review dan menyetujui P2 Investigatif dari Pemeriksa Ahli Madya;0.060
669;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;melakukan survei dan komunikasi dengan Ahli/Konsultan yang akan digunakan;0.086
670;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun Kerangka Acuan Kerja (KAK) Penggunaan Ahli/Konsultan;0.030
671;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review KAK Penggunaan Ahli/Konsultan;0.030
672;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review dan menyetujui KAK Penggunaan Ahli/Konsultan;0.086
673;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyiapkan bahan yang akan digunakan oleh Ahli/Konsultan;0.016
674;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun materi/bahan yang akan digunakan oleh Ahli/Konsultan;0.020
675;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review materi/bahan yang akan digunakan oleh Ahli/Konsultan dari Pemeriksa Ahli Muda;0.030
676;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review dan menyetujui materi/bahan yang akan digunakan Ahli/Konsultan dari Pemeriksa Ahli Madya;0.086
677;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;mengikuti pembahasan dengan Ahli/Konsultan;0.016
678;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;memimpin proses pembahasan dengan Ahli/Konsultan;0.020
679;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;mengendalikan proses pembahasan dengan Ahli/Konsultan;0.030
680;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;mengarahkan proses pembahasan dengan Ahli/Konsultan;0.086
681;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;mendokumentasikan pelaksanaan pembahasan dengan Ahli/Konsultan;0.016
682;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun Laporan Hasil Pembahasan dengan Ahli/Konsultan;0.020
683;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;melakukan diskusi dengan APH atas pendapat Ahli/Konsultan;0.016
684;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun Laporan Hasil Diskusi dengan APH atas Pendapat Ahli/Konsultan;0.020
685;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun konsep Simpulan atas Hipotesa Awal;0.040
686;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review konsep Simpulan atas Hipotesa Awal dari Pemeriksa Ahli Muda;0.030
687;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review dan menyetujui Simpulan atas Hipotesa Awal dari Pemeriksa Ahli Madya;0.086
688;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyiapkan bahan penyusunan Prosedur Pemeriksaan Investigatif Tambahan/Alternatif;0.016
689;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun konsep Prosedur Pemeriksaan Investigatif Tambahan/Alternati;0.020
690;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review konsep Prosedur Pemeriksaan Investigatif Tambahan/Alternatif dari Pemeriksa Ahli Muda;0.030
691;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review dan menyetujui Prosedur Pemeriksaan Investigatif Tambahan dari Pemeriksa Ahli Madya;0.086
692;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyiapkan data dan bahan untuk pemaparan dengan Pihak Internal BPK;0.016
693;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun bahan pemaparan dengan Pihak Internal BPK;0.020
694;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;melakukan pemaparan dengan Pihak Internal BPK;0.030
695;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyiapkan data dan bahan untuk pemaparan dengan Instansi yang Berwenang;0.016
696;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun bahan pemaparan dengan Instansi yang Berwenang;0.020
697;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;melakukan pemaparan dengan Instansi yang Berwenang;0.030
698;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyusun konsep LHP Investigatif berdasarkan unsur pelaporan LHP Investigatif yaitu simpulan, informasi umum, serta uraian hasil pemeriksaan dan lampiran;0.120
699;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyiapkan konsep surat keluar;0.020
700;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review konsep surat keluar;0.030
701;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review dan menyetujui surat keluar;0.086
702;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;melaksanakan administrasi dalam rangka pendampingan kepada APH;0.016
703;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyiapkan bahan pemaparan LHP Investigatif kepada APH;0.020
704;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;melakukan pemaparan LHP Investigatif kepada APH;0.030
705;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;melakukan komunikasi dengan APH untuk menginventarisir salinan dokumen bukti Pemeriksaan Investigatif yang diperlukan APH;0.020
706;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyiapkan salinan dokumen bukti Pemeriksaan Investigatif yang diperlukan oleh APH;0.030
707;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;mengusulkan penyampaian dokumen bukti Pemeriksaan Investigatif;0.086
708;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyetujui penyampaian dokumen bukti Pemeriksaan Investigatif;0.010
709;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyampaikan dokumen bukti Pemeriksaan Investigatif kepada APH;0.010
710;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;melaksanakan administrasi dalam pemantauan penanganan penyampaian LHP Investigatif;0.024
711;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;melakukan koordinasi dengan APH mengenai penanganan LHP Investigatif terkait tahap penyidikan;0.020
712;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;membuat laporan atas hasil pemantauan penanganan LHP Investigatif oleh APH;0.020
713;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;me-review laporan atas hasil pemantauan penanganan LHP investigatif oleh APH;0.060
714;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif;menyetujui laporan atas hasil pemantauan penanganan LHP Investigatif oleh APH;0.086
715;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);mengadministrasikan dan mendokumentasikan permintaan PKN;0.080
716;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);menyusun usulan pembentukan TPPI;0.020
717;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);me-review usulan pembentukan TPPI;0.015
718;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);me-review dan menyetujui pembentukan TPPI;0.043
719;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);melakukan permintaan pemaparan kasus dari APH dan bukti pendukung;0.054
720;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);melakukan telaahan untuk menilai kecukupan bukti terhadap unsur pidana;0.016
721;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);menyusun konsep simpulan hasil telaahan untuk menilai kecukupan bukti terhadap unsur pidana;0.030
722;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);me-review konsep simpulan hasil telaahan untuk menilai kecukupan bukti terhadap unsur pidana dari Pemeriksa Ahli Muda;0.023
723;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);me-review dan menyetujui simpulan hasil telaahan untuk menilai kecukupan bukti terhadap unsur pidana dari Pemeriksa Ahli Madya;0.065
724;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);membuat daftar permintaan bukti tambahan dan mengecek bukti yang ada;0.008
725;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);menelaah dan meminta bukti tambahan kepada APH, apabila belum diperoleh kejelasan;0.020
726;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);me-review hasil telaahan dari Pemeriksa Ahli Muda atas permintaan bukti tambahan kepada APH;0.023
727;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);menyampaikan simpulan hasil telaahan untuk menilai kecukupan bukti terhadap unsur pidana kepada Ketua BPK;0.065
728;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);melakukan telaahan untuk menyimpulkan ada atau tidaknya indikasi kerugian negara;0.048
729;Pemeriksa;Pemeriksaan Investigatif;Pemeriksaan Investigatif dalam rangka Penghitungan Kerugian Negara (PKN);menyusun konsep simpulan hasil telaahan ada atau tidaknya indikasi kerugian negara;0.020
